part1: 8900; part2: 96700; part3: 345200
part1: 7100; part2: 95400; part3: 367800
part1: 7000; part2: 90400; part3: 375500
part1: 7400; part2: 94800; part3: 443500
part1: 7600; part2: 97200; part3: 424200
part1: 7000; part2: 92800; part3: 400700
part1: 4600; part2: 57200; part3: 199100
part1: 4400; part2: 78000; part3: 222000
part1: 4300; part2: 55600; part3: 197900
part1: 4300; part2: 68700; part3: 195600
part1: 4700; part2: 55800; part3: 198400
part1: 4700; part2: 55900; part3: 196300
part1: 2500; part2: 55600; part3: 198300
part1: 3800; part2: 65400; part3: 189900
part1: 3500; part2: 64400; part3: 190400
part1: 4500; part2: 72500; part3: 214200
part1: 4200; part2: 72600; part3: 216200
part1: 4100; part2: 84500; part3: 201300
part1: 7500; part2: 72300; part3: 201100
part1: 2900; part2: 73400; part3: 207500
part1: 4400; part2: 94200; part3: 362000
part1: 4200; part2: 89200; part3: 359500
part1: 4500; part2: 89000; part3: 408100
part1: 4500; part2: 98700; part3: 665900
part1: 6000; part2: 98700; part3: 412900
part1: 21900; part2: 228700; part3: 374700
part1: 4500; part2: 94300; part3: 354700
part1: 2800; part2: 61900; part3: 193800
part1: 2800; part2: 56200; part3: 196800
part1: 2700; part2: 57400; part3: 202700
part1: 2700; part2: 55900; part3: 208400
part1: 2500; part2: 54500; part3: 192300
part1: 2700; part2: 53400; part3: 192100
part1: 3500; part2: 59600; part3: 192000
part1: 2500; part2: 54000; part3: 192100
part1: 3400; part2: 74000; part3: 230300
part1: 4300; part2: 57600; part3: 191500
part1: 2800; part2: 54200; part3: 221300
part1: 6600; part2: 60400; part3: 211400
part1: 4700; part2: 71400; part3: 216500
part1: 4400; part2: 62200; part3: 208800
part1: 3000; part2: 60800; part3: 212500
part1: 4500; part2: 66200; part3: 208700
part1: 4800; part2: 66300; part3: 209200
part1: 3600; part2: 71900; part3: 202500
part1: 3900; part2: 68200; part3: 202700
part1: 5100; part2: 60000; part3: 234800
part1: 5000; part2: 60000; part3: 202400
part1: 7100; part2: 75000; part3: 223000
part1: 5600; part2: 59600; part3: 209500
part1: 6900; part2: 95700; part3: 405300
part1: 7100; part2: 102800; part3: 251800
part1: 4800; part2: 59000; part3: 205000
part1: 5000; part2: 59300; part3: 204100
part1: 6900; part2: 70700; part3: 226400
part1: 8300; part2: 67200; part3: 344700
part1: 7200; part2: 78300; part3: 280500
part1: 9000; part2: 127100; part3: 221000
part1: 10100; part2: 79100; part3: 326700
part1: 7400; part2: 86600; part3: 251000
part1: 8400; part2: 74700; part3: 217700
part1: 6700; part2: 68100; part3: 207400
part1: 4700; part2: 58700; part3: 242100
part1: 5600; part2: 64000; part3: 226600
part1: 7000; part2: 76500; part3: 208000
part1: 7000; part2: 115000; part3: 464600
part1: 9000; part2: 69600; part3: 201500
part1: 7900; part2: 82000; part3: 254400
part1: 8000; part2: 96600; part3: 383100
part1: 7700; part2: 100600; part3: 367600
part1: 8100; part2: 99600; part3: 371000
part1: 7500; part2: 101500; part3: 390700
part1: 7300; part2: 118200; part3: 410100
part1: 7700; part2: 108000; part3: 417000
part1: 7700; part2: 101000; part3: 401100
part1: 20300; part2: 113100; part3: 404900
part1: 7500; part2: 113000; part3: 395700
part1: 7000; part2: 102400; part3: 386100
part1: 6700; part2: 94700; part3: 381600
part1: 4500; part2: 90400; part3: 385700
part1: 6100; part2: 116000; part3: 445300
part1: 5900; part2: 130400; part3: 397800
part1: 4700; part2: 115500; part3: 433400
part1: 4900; part2: 104200; part3: 403500
part1: 4800; part2: 102900; part3: 413600
part1: 5800; part2: 124700; part3: 456100
part1: 6100; part2: 104700; part3: 428300
part1: 7000; part2: 107800; part3: 576400
part1: 6600; part2: 102900; part3: 407900
part1: 5500; part2: 101600; part3: 292900
part1: 4500; part2: 98800; part3: 412000
part1: 5800; part2: 98100; part3: 414800
part1: 5400; part2: 97200; part3: 416500
part1: 4900; part2: 97800; part3: 405900
part1: 8000; part2: 89800; part3: 369400
part1: 3900; part2: 86300; part3: 342300
part1: 3600; part2: 82200; part3: 324800
part1: 4500; part2: 91800; part3: 366900
part1: 4500; part2: 103900; part3: 386500
part1: 5600; part2: 99100; part3: 389900
part1: 4800; part2: 94100; part3: 353600
part1: 5500; part2: 87200; part3: 316600
part1: 9600; part2: 92300; part3: 309600
part1: 4800; part2: 119200; part3: 406800
part1: 16100; part2: 55000; part3: 121000
part1: 8000; part2: 50800; part3: 74100
part1: 5900; part2: 49700; part3: 97800
part1: 6000; part2: 50200; part3: 70800
part1: 5900; part2: 49800; part3: 70800
part1: 5700; part2: 49100; part3: 70500
part1: 5700; part2: 48800; part3: 90300
part1: 6800; part2: 57100; part3: 79100
part1: 6400; part2: 54100; part3: 77100
part1: 6100; part2: 54300; part3: 78400
part1: 20400; part2: 60300; part3: 75300
part1: 6000; part2: 51900; part3: 74600
part1: 29200; part2: 66400; part3: 191500
part1: 2900; part2: 55400; part3: 190500
part1: 3000; part2: 55000; part3: 187500
part1: 5300; part2: 57200; part3: 187900
part1: 5000; part2: 54700; part3: 187800
part1: 18000; part2: 50800; part3: 176500
part1: 4300; part2: 50800; part3: 177500
part1: 4300; part2: 51500; part3: 177900
part1: 4300; part2: 51500; part3: 185700
part1: 5900; part2: 60400; part3: 264200
part1: 4200; part2: 51500; part3: 184600
part1: 4400; part2: 50900; part3: 177700
part1: 4300; part2: 50000; part3: 177200
part1: 4400; part2: 51000; part3: 179600
part1: 4300; part2: 51400; part3: 178700
part1: 4100; part2: 51200; part3: 209900
part1: 4100; part2: 51200; part3: 177600
part1: 4300; part2: 51000; part3: 177100
part1: 4300; part2: 52000; part3: 177600
part1: 4400; part2: 54100; part3: 177500
part1: 4100; part2: 51100; part3: 178700
part1: 4200; part2: 56000; part3: 177400
part1: 6200; part2: 51500; part3: 177400
part1: 2700; part2: 50800; part3: 177400
part1: 2600; part2: 50400; part3: 177400
part1: 5100; part2: 68900; part3: 177000
part1: 6200; part2: 63400; part3: 178200
part1: 6500; part2: 58400; part3: 177700
part1: 5100; part2: 51600; part3: 176300
part1: 4100; part2: 59900; part3: 176600
part1: 4100; part2: 61200; part3: 176600
part1: 5700; part2: 56100; part3: 176500
part1: 5800; part2: 57700; part3: 176900
part1: 6900; part2: 56700; part3: 189400
part1: 4500; part2: 54700; part3: 186000
part1: 2800; part2: 53300; part3: 199200
part1: 4500; part2: 50000; part3: 175800
part1: 4600; part2: 51800; part3: 176200
part1: 4500; part2: 53400; part3: 176200
part1: 4100; part2: 63600; part3: 178800
part1: 2600; part2: 51200; part3: 179000
part1: 2600; part2: 53300; part3: 177600
part1: 2600; part2: 50400; part3: 178600
part1: 2500; part2: 51900; part3: 178900
part1: 2500; part2: 51200; part3: 178700
part1: 2500; part2: 51200; part3: 178800
part1: 2500; part2: 51300; part3: 198800
part1: 3300; part2: 60300; part3: 270400
part1: 2800; part2: 57600; part3: 188400
part1: 2800; part2: 51700; part3: 178500
part1: 2600; part2: 51500; part3: 178900
part1: 2600; part2: 53500; part3: 178400
part1: 2500; part2: 51500; part3: 215900
part1: 2800; part2: 59600; part3: 179000
part1: 2600; part2: 60000; part3: 178400
part1: 2900; part2: 56200; part3: 180100
part1: 3800; part2: 55100; part3: 178200
part1: 2700; part2: 56100; part3: 178600
part1: 2600; part2: 50900; part3: 179700
part1: 2600; part2: 50500; part3: 178600
part1: 2600; part2: 49800; part3: 178700
part1: 2600; part2: 51200; part3: 178800
part1: 2500; part2: 51400; part3: 178900
part1: 4300; part2: 51100; part3: 178300
part1: 2700; part2: 51700; part3: 178200
part1: 2600; part2: 52500; part3: 179800
part1: 2500; part2: 52300; part3: 178700
part1: 2600; part2: 51500; part3: 178500
part1: 2600; part2: 51300; part3: 178800
part1: 2600; part2: 51100; part3: 178600
part1: 2500; part2: 51400; part3: 178200
part1: 2600; part2: 50500; part3: 180100
part1: 2500; part2: 50000; part3: 178300
part1: 3700; part2: 54900; part3: 178700
part1: 3800; part2: 52800; part3: 180600
part1: 2700; part2: 51100; part3: 178500
part1: 4300; part2: 51200; part3: 176800
part1: 4300; part2: 50400; part3: 179500
part1: 4100; part2: 50500; part3: 177400
part1: 4400; part2: 51000; part3: 177000
part1: 4200; part2: 51200; part3: 177300
part1: 5900; part2: 52900; part3: 177100
part1: 4100; part2: 51000; part3: 177000
part1: 4200; part2: 50100; part3: 185500
part1: 6500; part2: 52600; part3: 272500
part1: 6400; part2: 52500; part3: 184300
part1: 4300; part2: 51700; part3: 177400
part1: 4300; part2: 51400; part3: 177300
part1: 4100; part2: 55400; part3: 176700
part1: 4300; part2: 50800; part3: 177600
part1: 2600; part2: 52000; part3: 178800
part1: 2700; part2: 55100; part3: 178500
part1: 3800; part2: 53100; part3: 178700
part1: 5900; part2: 51100; part3: 177700
part1: 4400; part2: 52900; part3: 179200
part1: 3400; part2: 62300; part3: 178900
part1: 2600; part2: 50500; part3: 179200
part1: 2800; part2: 51300; part3: 178400
part1: 2600; part2: 51200; part3: 179000
part1: 2700; part2: 50900; part3: 178800
part1: 2500; part2: 51100; part3: 178800
part1: 2600; part2: 52300; part3: 178600
part1: 2500; part2: 50200; part3: 179700
part1: 2500; part2: 51200; part3: 180500
part1: 2700; part2: 51500; part3: 178500
part1: 2700; part2: 51700; part3: 178700
part1: 2500; part2: 51000; part3: 178400
part1: 2600; part2: 50500; part3: 178800
part1: 2600; part2: 50100; part3: 178300
part1: 2600; part2: 50900; part3: 179700
part1: 2600; part2: 51200; part3: 178900
part1: 2500; part2: 51100; part3: 178800
part1: 2500; part2: 62300; part3: 177400
part1: 4100; part2: 52600; part3: 177100
part1: 3900; part2: 50200; part3: 177900
part1: 4100; part2: 51100; part3: 200000
part1: 5900; part2: 67400; part3: 267200
part1: 5900; part2: 53000; part3: 190200
part1: 4100; part2: 51200; part3: 178300
part1: 4100; part2: 51200; part3: 178200
part1: 4300; part2: 50000; part3: 178300
part1: 4100; part2: 51200; part3: 180000
part1: 4200; part2: 52900; part3: 177800
part1: 4100; part2: 50700; part3: 178400
part1: 5500; part2: 55400; part3: 176400
part1: 5900; part2: 53400; part3: 178400
part1: 4100; part2: 50000; part3: 178000
part1: 4100; part2: 53200; part3: 178100
part1: 4000; part2: 53000; part3: 179700
part1: 4100; part2: 50700; part3: 189000
part1: 6000; part2: 58600; part3: 178700
part1: 5900; part2: 51300; part3: 176600
part1: 5100; part2: 52700; part3: 178600
part1: 6300; part2: 51500; part3: 176500
part1: 6100; part2: 66500; part3: 182700
part1: 6000; part2: 53800; part3: 181100
part1: 6000; part2: 54100; part3: 181600
part1: 6800; part2: 56100; part3: 186800
part1: 7500; part2: 55800; part3: 186700
part1: 6600; part2: 59400; part3: 365000
part1: 12000; part2: 93200; part3: 429600
part1: 9300; part2: 77800; part3: 350700
part1: 6100; part2: 91600; part3: 272700
part1: 7300; part2: 68200; part3: 198600
part1: 7800; part2: 60300; part3: 198700
part1: 10100; part2: 86000; part3: 387200
part1: 6200; part2: 71000; part3: 290200
part1: 8200; part2: 74300; part3: 245600
part1: 11600; part2: 113000; part3: 583000
part1: 5400; part2: 66800; part3: 263100
part1: 5800; part2: 66600; part3: 206100
part1: 5300; part2: 69500; part3: 205400
part1: 3400; part2: 70800; part3: 326000
part1: 6700; part2: 110100; part3: 424900
part1: 5200; part2: 97800; part3: 382400
part1: 5200; part2: 117000; part3: 410200
part1: 5400; part2: 102800; part3: 418600
part1: 5500; part2: 102400; part3: 395600
part1: 5800; part2: 100200; part3: 398400
part1: 6400; part2: 104100; part3: 408200
part1: 6400; part2: 106500; part3: 403600
part1: 6200; part2: 106400; part3: 412800
part1: 5900; part2: 96300; part3: 382900
part1: 13100; part2: 106700; part3: 383900
part1: 5500; part2: 98200; part3: 384600
part1: 5700; part2: 103600; part3: 401600
part1: 6100; part2: 109200; part3: 424200
part1: 9800; part2: 98900; part3: 371200
part1: 5900; part2: 95400; part3: 374700
part1: 5500; part2: 65300; part3: 226700
part1: 3300; part2: 110900; part3: 234100
part1: 4300; part2: 62000; part3: 244600
part1: 3700; part2: 92100; part3: 267700
part1: 5700; part2: 103300; part3: 396000
part1: 4300; part2: 61200; part3: 205700
part1: 5300; part2: 71600; part3: 222300
part1: 3900; part2: 67600; part3: 314100
